,,,,,,,,,,,,,,,,
,Plan,Semestre,Tipo,Código,Asignatura,Sección,Tope,Aula,Docente,Nº DE HORAS,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SÁBADO
,2018,Ciclo 1,O,CBE013,FÍSICA GENERAL I - TEORÍA,2,30,304,Mauro Quiroga Agurto (T),1,,,11-12,,,
,2018,Ciclo 1,O,CBE013,FÍSICA GENERAL I - PRÁCTICA,2,30,304,Mauro Quiroga Agurto (P),2,,,12-14,,,
,2018,Ciclo 1,O,CBE013,FÍSICA GENERAL I - TEORÍA,3,30,Lab. Computo,José Medina Medina (T),1,,,11-12,,,
,2018,Ciclo 1,O,CBE013,FÍSICA GENERAL I - PRÁCTICA,3,30,Lab. Computo,José Medina Medina,2,,,12-14,,,
,2018,Ciclo 1,O,CBE013,FÍSICA GENERAL I - TEORÍA,4,35,115,"Silvia Marisel, Espinoza Suárez (T)",1,,,11-12,,,
,2018,Ciclo 1,O,CBE013,FÍSICA GENERAL I - PRÁCTICA,4,35,115,"Silvia Marisel, Espinoza Suárez(P)",2,,,12-14,,,
,2018,Ciclo 3,O,CFO303,FISICA MOLECULAR - TEORÍA,1,25,315,LUIS SALAZAR DE PAZ (T),4,9-13,,,,,
,2018,Ciclo 3,O,CFO303,FISICA MOLECULAR - PRÁCTICA,1,25,217,LUIS SALAZAR DE PAZ (P),2,,,11-13,,,
,2018,Ciclo 3,O,CFO303,FISICA MOLECULAR - LABORATORIO,1,25,217,LUIS SALAZAR DE PAZ(L),2,,,,,10-12,
,2018,Ciclo 3,O,CFO303,FISICA MOLECULAR - TEORÍA,2,25,109,GARIN FEDOR JANAMPA AÑALOS (T),4,14-18,,,,,
,2018,Ciclo 3,O,CFO303,FISICA MOLECULAR - PRÁCTICA,2,25,109,GARIN FEDOR JANAMPA AÑAÑOS (P),2,,,14-16,,,
,2018,Ciclo 3,O,CFO303,FISICA MOLECULAR - LABORATORIO,2,25,109,GARIN FEDOR JANAMPA AÑAÑOS (L),2,,,,,14-16,
,2018,Ciclo 3,O,CFO302,FÍSICA MATEMATICA I - TEORÍA,1,25,115, LlUIS SALAZAR DE PAZ (T),3,,8-10,,,,
,2018,Ciclo 3,O,CFO302,FÍSICA MATEMATICA I - PRÁCTICA,1,25,115, LlUIS SALAZAR DE PAZ (P),2,,,,8-11,,
,2018,Ciclo 3,O,CFO302,FÍSICA MATEMATICA I - TEORÍA,2,25,313,RENATO TOVAR LANDEO (T),3,,18-21,,,,
,2018,Ciclo 3,O,CFO302,FÍSICA MATEMATICA I - PRÁCTICA,2,25,313,RENATO TOVAR LANDEO (P),2,,,,,19-21,
,2018,Ciclo 3,O,CFO304,ALGEBRA LINEAL - PRÁCTICA,1,25,111,,2,,11-13,,,,
,2018,Ciclo 3,O,CFO304,ALGEBRA LINEAL - TEORÍA,1,25,111,,3,,,,10-13,,
,2018,Ciclo 3,O,CFO304,ALGEBRA LINEAL - TEORÍA,2,25,111,,3,,13-16,,,,
,2018,Ciclo 3,O,CFO304,ALGEBRA LINEAL - PRÁCTICA,2,25,111,,2,,,,14-16,,
,2018,Ciclo 3,O,CFO305,CALCULO III  - TEORÍA,1,25,111,,3,,,8-11,,,
,2018,Ciclo 3,O,CFO305,CALCULO III  - PRÁCTICA,1,25,111,,2,,,,,,8-10
,2018,Ciclo 3,O,CFO305,CALCULO III  - TEORÍA,2,25,313,,3,,,16-19,,,
,2018,Ciclo 3,O,CFO305,CALCULO III  - PRÁCTICA,2,25,313,,2,,,,,,14-16
,2018,Ciclo 3,O,CFO306,FÍSICA COMPUTACIONAL I - TEORÍA,1,25,206,CHACHI ROJAS AYALA(T),3,,16-19,,,,
,2018,Ciclo 3,O,CFO306,FÍSICA COMPUTACIONAL I - PRÁCTICA,1,25,206,CHACHI ROJAS AYALA(L),2,,,,16-18,,
,2018,Ciclo 3,O,CFO306,FÍSICA COMPUTACIONAL I - TEORÍA,2,25,206,ERICH VÍCTOR MANRIQUE  CASTILLO(T),3,,,,,16-19,
,2018,Ciclo 3,O,CFO306,FÍSICA COMPUTACIONAL I - PRÁCTICA,2,25,206,ERICH VÍCTOR MANRIQUE CASTILLO (L),2,,16-18,,,,
,2018,Ciclo 5,O,CFO501,OPTICA - TEORÍA,U,25,215,MOISÉS GARCÍA SANIVAÑEZ  (T),4,,8-10,,8-10,8-10,
,2018,Ciclo 5,O,CFO501,OPTICA - PRÁCTICA,U,25,215,MOISÉS GARCIA SANTIVAÑEZ  (P),2,,,,,,
